source_sheet,schluter_item,description,instock_sku,special_order_sku,schluter_item_norm,description_norm
SPO,ED/Q125BW,"QUADEC OUT CORNER 1/2"" ALUM BRIGHT WHITE",,100575380,ED/Q125BW,"QUADEC OUT CORNER 1/2"" ALUM BRIGHT WHITE"
SPO,ED/Q125QG,"QUADEC OUT CORNER 1/2"" ALUM QUARTZ GRAY",,100575398,ED/Q125QG,"QUADEC OUT CORNER 1/2"" ALUM QUARTZ GRAY"
SPO,ED/Q125VG,"QUADEC OUT CORNER 1/2"" ALUM TRAFFIC GRAY",,100575406,ED/Q125VG,"QUADEC OUT CORNER 1/2"" ALUM TRAFFIC GRAY"
SPO,ED/Q125W,"QUADEC OUT CORNER 1/2"" ALUM WHITE",,100575414,ED/Q125W,"QUADEC OUT CORNER 1/2"" ALUM WHITE"
SPO,E/PQ125BH,"QUADEC OUT CORNER 1/2"" PVC BAHAMA",,100575422,E/PQ125BH,"QUADEC OUT CORNER 1/2"" PVC BAHAMA"
SPO,E/PQ125GS,"QUADEC OUT CORNER 1/2"" PVC BLACK",,100575430,E/PQ125GS,"QUADEC OUT CORNER 1/2"" PVC BLACK"
SPO,E/PQ125BW,"QUADEC OUT CORNER 1/2"" PVC BRT WHT",,100575448,E/PQ125BW,"QUADEC OUT CORNER 1/2"" PVC BRT WHT"
SPO,E/PQ125PG,"QUADEC OUT CORNER 1/2"" PVC CLA GREY",,100575455,E/PQ125PG,"QUADEC OUT CORNER 1/2"" PVC CLA GREY"
SPO,E/PQ125G,"QUADEC OUT CORNER 1/2"" PVC GREY",,100575463,E/PQ125G,"QUADEC OUT CORNER 1/2"" PVC GREY"
SPO,E/PQ125HB,"QUADEC OUT CORNER 1/2"" PVC LT BEIGE",,100575471,E/PQ125HB,"QUADEC OUT CORNER 1/2"" PVC LT BEIGE"
SPO,E/PQ125HG,"QUADEC OUT CORNER 1/2"" PVC LT GREY",,100575489,E/PQ125HG,"QUADEC OUT CORNER 1/2"" PVC LT GREY"
SPO,E/PQ125SP,"QUADEC OUT CORNER 1/2"" PVC SAND PBL",,100575497,E/PQ125SP,"QUADEC OUT CORNER 1/2"" PVC SAND PBL"
SPO,E/PQ125W,"QUADEC OUT CORNER 1/2"" PVC WHITE",,100575505,E/PQ125W,"QUADEC OUT CORNER 1/2"" PVC WHITE"
SPO,ED/Q60GS,"QUADEC OUT CORNER 1/4"" ALUM BLACK",,100575513,ED/Q60GS,"QUADEC OUT CORNER 1/4"" ALUM BLACK"
SPO,ED/Q60BW,"QUADEC OUT CORNER 1/4"" ALUM BRIGHT WHITE",,100575521,ED/Q60BW,"QUADEC OUT CORNER 1/4"" ALUM BRIGHT WHITE"
SPO,ED/Q60QG,"QUADEC OUT CORNER 1/4"" ALUM QUARTZ GRAY",,100575539,ED/Q60QG,"QUADEC OUT CORNER 1/4"" ALUM QUARTZ GRAY"
SPO,ED/Q60VG,"QUADEC OUT CORNER 1/4"" ALUM TRAFFIC GRAY",,100575547,ED/Q60VG,"QUADEC OUT CORNER 1/4"" ALUM TRAFFIC GRAY"
